iter	Logloss
0	0.6846078405
1	0.6770239414
2	0.6699735877
3	0.6634900361
4	0.656730495
5	0.6508185738
6	0.6450305905
7	0.6397900149
8	0.6350427707
9	0.629892758
10	0.6252593276
11	0.6209496434
12	0.6175469891
13	0.6136278759
14	0.6102829503
15	0.60724301
16	0.6042005492
17	0.6015897564
18	0.5989736674
19	0.5967635943
20	0.594375112
21	0.5920666278
22	0.5900773414
23	0.5882026732
24	0.5862422658
25	0.5845631013
26	0.5828380294
27	0.5811495967
28	0.5797220954
29	0.5785285585
30	0.5769477004
31	0.575473306
32	0.5741555409
33	0.572982952
34	0.5721539509
35	0.5713735832
36	0.5704016397
37	0.5695584321
38	0.5688298824
39	0.5680503507
40	0.5672774081
41	0.5663062758
42	0.565612575
43	0.5646536452
44	0.563881906
45	0.5631019642
46	0.5626095478
47	0.5620210245
48	0.561400159
49	0.5607900817
50	0.5600486466
51	0.5595215491
52	0.5590916782
53	0.5585901742
54	0.558084687
55	0.5576035911
56	0.5572326065
57	0.5567344834
58	0.5562676724
59	0.5559062309
60	0.5554806992
61	0.5551075091
62	0.5546646209
63	0.5542254545
64	0.5537999829
65	0.5534122833
66	0.5530483868
67	0.5527748168
68	0.5525063484
69	0.5521781556
70	0.5517480201
71	0.5513924093
72	0.5510093314
73	0.5506728673
74	0.5504705256
75	0.5502847614
76	0.5500313214
77	0.5497320937
78	0.5493738971
79	0.5490110661
80	0.5487301602
81	0.548330494
82	0.548052438
83	0.5477037599
84	0.5474559563
85	0.5471645263
86	0.5469317433
87	0.5467161783
88	0.5464820167
89	0.5462784896
90	0.5459537877
91	0.5457862799
92	0.5454566684
93	0.5451241539
94	0.5448391728
95	0.544683894
96	0.5444127587
97	0.5440678788
98	0.5437386415
99	0.5435016617
100	0.5432190497
101	0.5430223811
102	0.5428374942
103	0.5425092748
104	0.5422919214
105	0.5421313261
106	0.5419458297
107	0.5417514338
108	0.5415692803
109	0.5412538776
110	0.5410417153
111	0.5408664024
112	0.540621811
113	0.5404164081
114	0.5401415706
115	0.5399166519
116	0.5396907927
117	0.5395033539
118	0.5392290494
119	0.5389942982
120	0.5387206962
121	0.5385674065
122	0.538349844
123	0.5382363422
124	0.5378614393
125	0.5377018809
126	0.5374455521
127	0.5371928375
128	0.5369790032
129	0.5367496476
130	0.5366222985
131	0.5363843856
132	0.5361928648
133	0.5359486831
134	0.5357920291
135	0.5355663372
136	0.5353388026
137	0.5351746948
138	0.5349560208
139	0.5346602354
140	0.5344748513
141	0.5342353794
142	0.5341657002
143	0.5340110345
144	0.5338941591
145	0.5336772776
146	0.5334406954
147	0.533293561
148	0.5331093652
149	0.5328388643
150	0.5327209307
151	0.5325159711
152	0.5323850783
153	0.5322525661
154	0.5321078944
155	0.5319183042
156	0.5317332681
157	0.5316111528
158	0.531520857
159	0.5313254639
160	0.5311751248
161	0.5310269319
162	0.530917489
163	0.5307181172
164	0.5305240989
165	0.5303954488
166	0.5301774207
167	0.5300471307
168	0.5299699182
169	0.5297896716
170	0.5296246814
171	0.5295205468
172	0.5293603752
173	0.5291514298
174	0.5290440026
175	0.5288529855
176	0.5286379631
177	0.5285131553
178	0.5284098464
179	0.528275946
180	0.5281805012
181	0.5280965714
182	0.5279574977
183	0.5278431494
184	0.5276936641
185	0.5275505393
186	0.5275044506
187	0.5272709747
188	0.5271173182
189	0.5269324786
190	0.5268362775
191	0.5265443137
192	0.5263554918
193	0.5262333856
194	0.5261151964
195	0.5259954927
196	0.5258593442
197	0.5257708238
198	0.5256804674
199	0.5256153593
200	0.5254489279
201	0.5253677359
202	0.5251748845
203	0.5250498843
204	0.5249118967
205	0.5247984216
206	0.5246949772
207	0.5245144989
208	0.524338254
209	0.5241039042
210	0.5239464912
211	0.5238468658
212	0.5235711442
213	0.5234618186
214	0.5233733534
215	0.5231811199
216	0.5230158871
217	0.522880699
218	0.5227636201
219	0.5225681223
220	0.5224299848
221	0.5223237296
222	0.5221438687
223	0.5220276162
224	0.5219803338
225	0.5218045967
226	0.5216963022
227	0.5215890998
228	0.5214760666
229	0.5212873738
230	0.5211211785
231	0.5210164577
232	0.5209177136
233	0.5207544722
234	0.5205106803
235	0.520319777
236	0.5202370117
237	0.5200609751
238	0.5198131398
239	0.5196566785
240	0.51952195
241	0.5193758504
242	0.5192571115
243	0.5190850498
244	0.5189448318
245	0.5188803045
246	0.5186844186
247	0.5185408157
248	0.5183154456
249	0.5181870769
250	0.5179848482
251	0.5178399302
252	0.5176732926
253	0.5174113022
254	0.5173412443
255	0.5171643742
256	0.5170365557
257	0.5167061076
258	0.5165688269
259	0.5163976472
260	0.5162534159
261	0.5159750018
262	0.5158817223
263	0.5157328971
264	0.5155733738
265	0.5154251631
266	0.5150838558
267	0.5149923897
268	0.514833163
269	0.514712169
270	0.5146395809
271	0.5145076445
272	0.5143394754
273	0.5141410417
274	0.5139370183
275	0.5136971523
276	0.5135082083
277	0.5134293339
278	0.513308991
279	0.5132042174
280	0.513096809
281	0.5128967122
282	0.5127209611
283	0.5125628054
284	0.5124006455
285	0.512301391
286	0.5121219611
287	0.5119429099
288	0.5118147401
289	0.5115523661
290	0.51125225
291	0.5110435328
292	0.5108260052
293	0.5107021943
294	0.5106008847
295	0.5104559058
