iter	Passed	Remaining
0	7	7072
1	14	7010
2	21	7001
3	27	6955
4	34	6924
5	41	6894
6	48	6926
7	56	6949
8	63	6951
9	70	6971
10	77	6977
11	84	6988
12	92	6985
13	99	6983
14	106	6981
15	113	6971
16	120	6978
17	127	6962
18	134	6951
19	141	6940
20	148	6937
21	155	6929
22	162	6922
23	169	6912
24	177	6915
25	184	6920
26	191	6912
27	199	6909
28	206	6906
29	213	6904
30	221	6912
31	228	6909
32	235	6907
33	243	6912
34	250	6908
35	257	6901
36	264	6895
37	272	6889
38	279	6893
39	287	6895
40	294	6892
41	301	6887
42	309	6885
43	316	6881
44	324	6878
45	331	6877
46	338	6871
47	346	6875
48	354	6875
49	361	6875
50	369	6874
51	376	6869
52	384	6870
53	392	6868
54	399	6864
55	406	6860
56	414	6855
57	421	6841
58	428	6831
59	435	6826
60	443	6820
61	450	6814
62	457	6803
63	464	6795
64	471	6787
65	479	6783
66	486	6776
67	494	6770
68	501	6761
69	508	6753
70	515	6747
71	523	6740
72	530	6738
73	538	6735
74	545	6725
75	552	6716
76	560	6717
77	567	6712
78	575	6708
79	582	6701
80	590	6695
81	597	6685
82	604	6679
83	611	6670
84	619	6663
85	626	6659
86	633	6652
87	641	6647
88	648	6641
89	656	6634
90	663	6629
91	671	6624
92	678	6616
93	685	6610
94	692	6601
95	700	6594
96	707	6588
97	715	6581
98	722	6574
99	729	6568
100	737	6561
101	744	6555
102	752	6549
103	759	6541
104	766	6534
105	774	6528
106	781	6520
107	788	6512
108	795	6504
109	803	6497
110	810	6492
111	817	6485
112	825	6482
113	833	6476
114	840	6470
115	848	6464
116	855	6456
117	862	6449
118	870	6444
119	878	6438
120	885	6429
121	892	6422
122	899	6414
123	906	6407
124	914	6401
125	922	6396
126	930	6393
127	938	6390
128	945	6386
129	953	6382
130	961	6378
131	969	6372
132	976	6368
133	984	6362
134	992	6356
135	999	6351
136	1007	6343
137	1014	6336
138	1021	6329
139	1029	6322
140	1036	6314
141	1044	6311
142	1052	6305
143	1059	6299
144	1066	6291
145	1074	6284
146	1082	6279
147	1089	6274
148	1097	6267
149	1104	6259
150	1111	6250
151	1119	6244
152	1126	6237
153	1134	6230
154	1141	6223
155	1148	6214
156	1156	6208
157	1163	6200
158	1170	6193
159	1178	6185
160	1185	6178
161	1192	6170
162	1200	6164
163	1207	6157
164	1215	6150
165	1223	6146
166	1231	6140
167	1238	6134
168	1246	6127
169	1253	6119
170	1260	6113
171	1268	6106
172	1276	6101
173	1283	6093
174	1291	6087
175	1298	6080
176	1306	6073
177	1313	6066
178	1321	6059
179	1328	6052
180	1335	6044
181	1343	6037
182	1350	6029
183	1357	6022
184	1365	6015
185	1372	6007
186	1378	5994
187	1386	5987
188	1393	5979
189	1401	5973
190	1408	5965
191	1415	5957
192	1423	5950
193	1431	5945
194	1439	5941
195	1446	5934
196	1454	5928
197	1462	5923
198	1469	5916
199	1477	5910
200	1485	5904
201	1492	5896
202	1500	5889
203	1507	5881
204	1514	5875
205	1522	5867
206	1529	5858
207	1536	5852
208	1544	5846
209	1552	5838
210	1559	5831
211	1566	5824
212	1574	5817
213	1581	5810
214	1589	5802
215	1596	5794
216	1604	5788
217	1611	5782
218	1619	5775
219	1626	5767
220	1634	5760
221	1641	5752
222	1648	5745
223	1656	5737
224	1663	5729
225	1670	5722
226	1678	5715
227	1685	5707
228	1692	5699
229	1700	5693
230	1708	5686
231	1715	5678
232	1722	5671
233	1730	5664
234	1737	5656
235	1745	5650
236	1752	5642
237	1760	5635
238	1767	5627
239	1774	5619
240	1782	5612
241	1789	5605
242	1796	5597
243	1804	5590
244	1811	5582
245	1818	5575
246	1826	5567
247	1833	5560
248	1840	5552
249	1848	5545
250	1856	5538
251	1863	5530
252	1870	5523
253	1878	5516
254	1885	5509
255	1893	5501
256	1900	5495
257	1908	5488
258	1915	5480
259	1923	5474
260	1930	5467
261	1938	5459
262	1945	5451
263	1952	5444
264	1960	5436
265	1967	5429
266	1975	5422
267	1982	5415
268	1990	5408
269	1997	5401
270	2005	5394
271	2013	5388
272	2021	5382
273	2028	5375
274	2036	5369
275	2044	5363
276	2052	5356
277	2059	5349
278	2067	5342
279	2074	5333
280	2081	5325
281	2088	5317
282	2095	5309
283	2103	5301
284	2110	5294
285	2117	5286
286	2124	5278
287	2132	5271
288	2139	5263
289	2146	5256
290	2154	5249
291	2162	5242
292	2169	5235
293	2177	5229
294	2185	5222
295	2192	5215
296	2200	5207
297	2208	5201
298	2215	5193
299	2222	5186
300	2229	5178
301	2236	5170
302	2244	5162
303	2252	5156
304	2259	5149
305	2267	5142
306	2274	5134
307	2282	5127
308	2289	5119
309	2296	5112
310	2303	5103
311	2311	5096
312	2318	5089
313	2326	5081
314	2333	5074
315	2341	5067
316	2348	5059
317	2355	5052
318	2362	5044
319	2370	5036
320	2377	5028
321	2384	5020
322	2391	5013
323	2399	5006
324	2406	4998
325	2414	4991
326	2422	4984
327	2429	4976
328	2436	4969
329	2444	4962
330	2451	4954
331	2458	4947
332	2466	4940
333	2473	4932
334	2481	4925
335	2489	4919
336	2496	4912
337	2504	4905
338	2512	4898
339	2520	4893
340	2528	4886
341	2535	4878
342	2543	4872
343	2551	4865
344	2558	4857
345	2565	4849
346	2573	4842
347	2580	4834
348	2587	4826
349	2595	4819
350	2602	4812
351	2609	4804
352	2617	4797
353	2624	4789
354	2632	4782
355	2639	4775
356	2646	4767
357	2654	4759
358	2661	4752
359	2668	4744
360	2676	4737
361	2683	4729
362	2690	4722
363	2698	4714
364	2705	4706
365	2712	4699
366	2719	4691
367	2727	4683
368	2734	4676
369	2742	4669
370	2749	4662
371	2757	4654
372	2764	4647
373	2772	4640
374	2779	4632
375	2786	4624
376	2794	4617
377	2801	4609
378	2809	4602
379	2816	4594
380	2823	4587
381	2830	4579
382	2837	4571
383	2844	4563
384	2851	4555
385	2859	4548
386	2866	4540
387	2874	4533
388	2881	4526
389	2888	4518
390	2896	4511
391	2903	4503
392	2911	4496
393	2918	4489
394	2926	4481
395	2933	4474
396	2941	4467
397	2948	4460
398	2956	4452
399	2963	4445
400	2971	4438
401	2978	4431
402	2986	4423
403	2994	4417
404	3001	4409
405	3008	4402
406	3016	4394
407	3023	4387
408	3031	4380
409	3039	4373
410	3046	4366
411	3054	4359
412	3062	4352
413	3070	4345
414	3078	4339
415	3086	4332
416	3094	4325
417	3101	4318
418	3109	4311
419	3117	4304
420	3124	4297
421	3132	4289
422	3139	4282
423	3146	4274
424	3154	4267
425	3161	4260
426	3169	4252
427	3177	4246
428	3185	4239
429	3193	4233
430	3200	4225
431	3208	4218
432	3216	4211
433	3223	4204
434	3231	4196
435	3238	4189
436	3246	4182
437	3253	4174
438	3261	4168
439	3268	4160
440	3276	4153
441	3284	4146
442	3291	4138
443	3299	4131
444	3306	4123
445	3313	4116
446	3321	4108
447	3328	4101
448	3336	4093
449	3343	4086
450	3351	4079
451	3358	4071
452	3367	4066
453	3376	4060
454	3384	4053
455	3391	4046
456	3398	4038
457	3406	4030
458	3413	4023
459	3421	4016
460	3428	4008
461	3435	4000
462	3443	3993
463	3450	3986
464	3458	3978
465	3465	3971
466	3473	3964
467	3480	3956
468	3487	3948
469	3494	3941
470	3502	3933
471	3510	3926
472	3517	3919
473	3524	3911
474	3532	3904
475	3539	3896
476	3547	3889
477	3555	3882
478	3563	3875
479	3571	3868
480	3578	3861
481	3586	3854
482	3594	3847
483	3602	3840
484	3609	3833
485	3617	3826
486	3625	3818
487	3632	3811
488	3639	3803
489	3647	3796
490	3654	3788
491	3661	3781
492	3669	3773
493	3677	3766
494	3684	3759
495	3692	3751
496	3699	3744
497	3706	3736
498	3714	3729
499	3721	3721
500	3729	3714
501	3736	3706
502	3743	3699
503	3751	3691
504	3758	3684
505	3765	3676
506	3773	3669
507	3780	3661
508	3787	3653
509	3795	3646
510	3802	3638
511	3809	3631
512	3817	3623
513	3824	3616
514	3832	3608
515	3839	3601
516	3846	3593
517	3853	3585
518	3861	3578
519	3868	3571
520	3876	3564
521	3883	3556
522	3891	3548
523	3898	3541
524	3905	3533
525	3912	3526
526	3920	3518
527	3927	3511
528	3934	3503
529	3941	3495
530	3948	3487
531	3956	3480
532	3963	3472
533	3970	3464
534	3977	3457
535	3985	3449
536	3992	3442
537	4000	3435
538	4008	3428
539	4015	3420
540	4022	3413
541	4030	3405
542	4037	3397
543	4044	3390
544	4052	3382
545	4059	3375
546	4066	3367
547	4073	3360
548	4080	3352
549	4088	3345
550	4096	3337
551	4103	3330
552	4110	3322
553	4118	3315
554	4125	3308
555	4133	3300
556	4141	3293
557	4149	3286
558	4156	3279
559	4164	3272
560	4173	3265
561	4180	3258
562	4189	3251
563	4196	3244
564	4203	3236
565	4211	3229
566	4218	3221
567	4226	3214
568	4233	3206
569	4241	3199
570	4248	3192
571	4256	3184
572	4264	3177
573	4271	3170
574	4279	3162
575	4286	3155
576	4293	3147
577	4301	3140
578	4308	3132
579	4316	3125
580	4323	3117
581	4331	3110
582	4338	3103
583	4346	3096
584	4354	3089
585	4363	3082
586	4371	3075
587	4378	3068
588	4386	3060
589	4393	3053
590	4400	3045
591	4408	3038
592	4415	3030
593	4423	3023
594	4430	3015
595	4437	3008
596	4445	3000
597	4452	2993
598	4459	2985
599	4467	2978
600	4474	2970
601	4483	2963
602	4490	2956
603	4498	2949
604	4506	2941
605	4513	2934
606	4520	2927
607	4528	2919
608	4535	2911
609	4542	2904
610	4549	2896
611	4556	2889
612	4564	2881
613	4571	2874
614	4579	2866
615	4586	2859
616	4594	2851
617	4601	2844
618	4608	2836
619	4616	2829
620	4623	2821
621	4631	2814
622	4639	2807
623	4647	2800
624	4654	2792
625	4662	2785
626	4670	2778
627	4678	2771
628	4686	2764
629	4694	2757
630	4702	2749
631	4709	2742
632	4716	2734
633	4724	2727
634	4731	2719
635	4739	2712
636	4746	2705
637	4754	2697
638	4761	2689
639	4769	2682
640	4776	2675
641	4783	2667
642	4791	2660
643	4799	2653
644	4807	2646
645	4815	2638
646	4822	2631
647	4830	2623
648	4837	2616
649	4846	2609
650	4854	2602
651	4862	2595
652	4869	2587
653	4876	2579
654	4883	2572
655	4891	2564
656	4898	2557
657	4905	2549
658	4913	2542
659	4920	2534
660	4927	2527
661	4935	2519
662	4943	2512
663	4950	2504
664	4957	2497
665	4965	2490
666	4972	2482
667	4980	2475
668	4987	2467
669	4995	2460
670	5002	2452
671	5009	2445
672	5016	2437
673	5024	2430
674	5031	2422
675	5039	2415
676	5046	2407
677	5053	2400
678	5061	2392
679	5068	2385
680	5075	2377
681	5083	2370
682	5090	2362
683	5097	2355
684	5105	2347
685	5112	2340
686	5120	2332
687	5127	2325
688	5135	2317
689	5142	2310
690	5150	2303
691	5157	2295
692	5165	2288
693	5173	2281
694	5180	2273
695	5188	2266
696	5196	2258
697	5203	2251
698	5211	2244
699	5219	2236
700	5227	2229
701	5234	2222
702	5242	2214
703	5249	2207
704	5257	2199
705	5265	2192
706	5272	2185
707	5279	2177
708	5287	2170
709	5294	2162
710	5302	2155
711	5309	2147
712	5316	2140
713	5324	2132
714	5331	2125
715	5338	2117
716	5345	2110
717	5353	2102
718	5360	2095
719	5368	2087
720	5375	2080
721	5382	2072
722	5389	2064
723	5396	2057
724	5403	2049
725	5411	2042
726	5418	2034
727	5425	2027
728	5432	2019
729	5440	2012
730	5447	2004
731	5454	1997
732	5462	1989
733	5470	1982
734	5477	1975
735	5485	1967
736	5492	1960
737	5499	1952
738	5507	1945
739	5514	1937
740	5521	1930
741	5529	1922
742	5536	1915
743	5543	1907
744	5551	1900
745	5558	1892
746	5565	1885
747	5573	1877
748	5580	1870
749	5587	1862
750	5595	1855
751	5603	1847
752	5610	1840
753	5617	1832
754	5625	1825
755	5632	1817
756	5639	1810
757	5646	1802
758	5653	1795
759	5660	1787
760	5668	1780
761	5675	1772
762	5682	1765
